Heat Number,Date,Shift,HM,DRI,HBI,Bucket,LIME,DOLO,CPC,POWER,OXY,T C,TTT
4515001,2025-04-01 00:00:00,C,63.23,57.3,0.0,0.0,9.4,2.1,594.0,33043.0,3894.0,120.53,39.0
4515002,2025-04-01 00:00:00,C,68.43,55.0,0.0,0.0,10.6,2.2,809.0,31989.0,4280.0,123.43,43.0
4515003,2025-04-01 00:00:00,C,65.01,61.1,0.0,0.0,11.0,2.3,732.0,32088.0,3961.0,126.11,42.0
4515004,2025-04-01 00:00:00,C,61.48,58.1,0.0,0.0,10.6,2.1,480.0,32818.0,3339.0,119.58,37.0
4515005,2025-04-01 00:00:00,C,70.92,65.5,0.0,0.0,10.8,2.4,603.0,35293.0,4345.0,136.42000000000002,40.0
4515006,2025-04-01 00:00:00,C,61.25,62.1,0.0,0.0,8.7,2.1,1225.0,33520.0,3925.0,123.35,52.0
4515007,2025-04-01 00:00:00,C,57.97,53.2,0.0,0.0,11.0,2.4,875.0,33803.0,3420.0,111.17,38.0
4515008,2025-04-01 00:00:00,C,70.95,41.9,0.0,18.57,11.3,2.1,519.0,36523.0,3625.0,131.42000000000002,44.0
4515009,2025-04-01 00:00:00,C,67.72,40.1,0.0,18.0,10.1,1.9,853.0,35189.0,3990.0,125.82,43.0
4515010,2025-04-01 00:00:00,C,57.75,37.7,0.0,18.28,8.8,1.7,853.0,33503.0,3636.0,113.73,46.0
4515011,2025-04-01 00:00:00,B,55.1,58.0,0.0,18.67,12.2,1.5,1330.0,57739.0,4260.0,131.77,475.0
4515012,2025-04-01 00:00:00,B,53.14,51.1,0.0,14.47,9.5,1.2,758.0,39148.0,2853.0,118.71,78.0
4515013,2025-04-01 00:00:00,B,56.84,47.1,0.0,16.89,9.3,1.3,564.0,38680.0,3208.0,120.83,50.0
4515014,2025-04-01 00:00:00,B,54.99,52.1,0.0,17.35,9.8,1.2,660.0,37164.0,2978.0,124.44,55.0
4515015,2025-04-01 00:00:00,B,56.54,34.1,0.0,20.21,9.5,1.2,464.0,34693.0,3273.0,110.85,57.0
4515016,2025-04-01 00:00:00,B,57.5,62.3,0.0,0.0,10.6,1.0,614.0,36507.0,3215.0,119.8,41.0
4515017,2025-04-01 00:00:00,B,55.64,41.2,0.0,18.0,7.7,0.8,580.0,36083.0,3161.0,114.84,52.0
4515018,2025-04-01 00:00:00,B,54.66,55.2,0.0,0.0,8.6,0.8,650.0,30132.0,3012.0,109.86,44.0
4515019,2025-04-01 00:00:00,B,57.2,60.1,0.0,0.0,11.8,1.0,655.0,31642.0,3295.0,117.3,53.0
4515021,2025-04-02 00:00:00,C,55.4,67.3,0.0,0.0,11.5,0.9,493.0,37806.0,3089.0,122.7,41.0
4515022,2025-04-02 00:00:00,C,64.4,65.2,0.0,0.0,13.3,2.0,1193.0,37503.0,4348.0,129.60000000000002,70.0
4515023,2025-04-02 00:00:00,C,59.42,55.9,0.0,0.0,10.6,2.0,523.0,29027.0,3367.0,115.32,42.0
4515024,2025-04-02 00:00:00,C,57.0,63.4,0.0,0.0,11.0,2.2,684.0,33689.0,3360.0,120.4,40.0
4515025,2025-04-02 00:00:00,C,61.21,60.0,0.0,0.0,11.1,2.6,402.0,35335.0,3539.0,121.21,42.0
4515026,2025-04-02 00:00:00,C,55.0,52.7,0.0,0.0,10.0,1.9,400.0,30981.0,3256.0,107.7,43.0
4515027,2025-04-02 00:00:00,C,54.02,55.21,0.0,0.0,9.6,2.3,772.0,31195.0,3199.0,109.23,40.0
4515028,2025-04-02 00:00:00,C,60.97,59.7,0.0,0.0,10.0,2.0,986.0,31296.0,3449.0,120.67,45.0
4515029,2025-04-02 00:00:00,C,57.35,45.6,0.0,21.31,10.7,1.7,944.0,36369.0,4001.0,124.26,52.0
4515030,2025-04-02 00:00:00,C,44.27,46.4,0.0,20.54,10.1,2.4,835.0,36423.0,3047.0,111.21,45.0
4515031,2025-04-02 00:00:00,C,50.69,49.9,0.0,15.63,10.4,2.3,1179.0,39312.0,3360.0,116.22,46.0
4515032,2025-04-02 00:00:00,A,58.6,65.7,0.0,0.0,11.5,1.2,601.0,34459.0,3252.0,124.3,39.0
4515033,2025-04-02 00:00:00,A,59.66,45.6,0.0,16.33,10.8,1.2,257.0,34476.0,3420.0,121.59,42.0
4515034,2025-04-02 00:00:00,A,61.29,60.2,0.0,0.0,11.3,1.2,335.0,34099.0,3442.0,121.49,38.0
4515035,2025-04-02 00:00:00,A,51.29,48.5,0.0,16.9,9.2,0.8,677.0,38660.0,3388.0,116.69,57.0
4515036,2025-04-02 00:00:00,A,56.43,60.3,0.0,0.0,11.5,0.9,665.0,32921.0,3464.0,116.73,41.0
4515037,2025-04-02 00:00:00,A,57.54,37.7,0.0,22.53,10.6,1.1,315.0,38734.0,3283.0,117.77,43.0
4515038,2025-04-02 00:00:00,A,57.29,49.2,0.0,13.14,9.3,1.2,763.0,34769.0,3131.0,119.63,39.0
4515039,2025-04-02 00:00:00,A,58.65,62.9,0.0,0.0,9.9,1.3,485.0,35149.0,3260.0,121.55,39.0
4515040,2025-04-02 00:00:00,A,69.47,64.6,0.0,0.0,12.2,1.2,885.0,39355.0,4012.0,134.07,46.0
4515041,2025-04-02 00:00:00,A,55.8,42.8,0.0,14.63,9.4,1.8,770.0,32740.0,3420.0,113.23,37.0
4515042,2025-04-02 00:00:00,A,57.75,35.5,0.0,15.1,8.3,0.1,574.0,32196.0,3125.0,108.35,39.0
4515043,2025-04-02 00:00:00,A,59.0,52.1,0.0,0.0,8.8,1.3,0.0,31228.0,2969.0,111.1,36.0
4515044,2025-04-02 00:00:00,B,65.62,58.2,0.0,0.0,11.1,1.4,596.0,34653.0,3154.0,123.82,40.0
4515045,2025-04-02 00:00:00,B,56.78,62.1,0.0,0.0,10.0,1.0,0.0,33760.0,3161.0,118.88,36.0
4515046,2025-04-02 00:00:00,B,57.96,50.2,0.0,13.8,9.4,0.8,0.0,34041.0,3258.0,121.96,42.0
4515047,2025-04-02 00:00:00,B,70.97,37.1,0.0,14.9,9.5,0.8,0.0,35014.0,3284.0,122.97,45.0
4515048,2025-04-02 00:00:00,B,62.4,60.3,0.0,0.0,11.1,1.1,595.0,31499.0,3255.0,122.7,47.0
4515049,2025-04-02 00:00:00,B,54.37,37.7,0.0,18.54,8.5,0.4,0.0,33906.0,3314.0,110.61,48.0
4515050,2025-04-02 00:00:00,B,58.650000000000006,58.3,0.0,0.0,10.3,1.1,0.0,30109.0,3492.0,116.95,45.0
4515051,2025-04-02 00:00:00,B,56.23,34.2,0.0,20.99,8.8,0.3,0.0,29458.0,3242.0,111.42,40.0
4515052,2025-04-02 00:00:00,B,58.49,63.2,0.0,0.0,11.2,0.2,537.0,30515.0,3514.0,121.69,46.0
4515053,2025-04-02 00:00:00,B,58.77,39.6,0.0,19.61,8.6,0.0,653.0,32981.0,3774.0,117.98,42.0
4515055,2025-04-03 00:00:00,C,57.69,54.4,0.0,0.0,8.2,1.8,686.0,32120.0,3262.0,112.09,39.0
4515056,2025-04-03 00:00:00,C,57.35,39.9,0.0,18.17,8.3,1.7,609.0,35569.0,2761.0,115.42000000000002,41.0
