Feature,Pearson,Mutual Information,Random Forest importance,LightGBM importance,SHAP importance,Permutation importance,Stability score,VIF,Category,Industrial meaning,Pearson norm,Mutual Information norm,Permutation importance norm,Random Forest importance norm,LightGBM importance norm,SHAP importance norm,Stability score norm,Final score,Rank
HM_X_POWER,0.30328848102940403,0.05454677388133167,0.20351692197690394,878,1.4508531789678876,0.5475202630906529,1.0,1.67660914321249,Interactions,Interactions indicator relevant to EAF tap-to-tap practice.,0.8868297929487091,0.5686815618143066,1.0,1.0,1.0,0.9729239550235307,0.0,0.814314482757849,1
BUCKET_X_CPC,0.3102477982703932,0.09591795750737386,0.1525319342719954,126,1.490922151754312,0.45721753924215436,1.0,3.340073791686144,Interactions,Interactions indicator relevant to EAF tap-to-tap practice.,0.9071851826504016,1.0,0.8350696221930564,0.7494803517581966,0.11005917159763313,1.0,0.0,0.6514517804290636,2
OXYGEN_PER_TONNE,0.2667520673493344,0.040437572567626034,0.17293623694651458,742,1.087681146097235,0.3832927881546733,1.0,1.3921159324427739,Operational,Specific oxygen per tonne charged.,0.7799640023823986,0.42158500471110766,0.7000522427992981,0.8497388584038246,0.8390532544378698,0.7275155601386708,0.0,0.6445400057679065,3
POWER_PER_TONNE,0.34198031570515486,0.08450631692441757,0.09196804456862248,533,0.5319055638011653,0.17284479148446485,1.0,1.5346126820289296,Operational,Specific electrical energy per tonne charged.,1.0,0.8810270685540921,0.31568656566021364,0.45189384585454495,0.591715976331361,0.351958024803745,0.0,0.47836128577034664,4
SOLID_BURDEN_RATIO,0.183336662068058,0.018557604582468912,0.0651442975281271,523,0.565407531850407,0.14987049597584992,1.0,2.907497292099406,Ratios,Ratios indicator relevant to EAF tap-to-tap practice.,0.5359812921785382,0.19347372551216244,0.27372593505463716,0.32009278096059246,0.5798816568047337,0.3745965086634769,0.0,0.3307781944830753,5
HM_TO_DRI_RATIO,0.1306098194167104,0.04009968128003916,0.05232838821809082,369,0.21925170797369747,0.10651032766025499,1.0,2.3524007423881383,Ratios,Ratios indicator relevant to EAF tap-to-tap practice.,0.38175992350941224,0.4180622932567806,0.1945322115733643,0.25712057606703237,0.39763313609467454,0.14068657775234517,0.0,0.24909102163115393,6
BURDEN_SHARE_RANGE,-0.20656037885494075,0.0655603439939787,0.03125180393310702,302,0.12376214213668936,0.04375643976420993,1.0,4.571785689126154,Burden,Burden indicator relevant to EAF tap-to-tap practice.,0.603908617395795,0.6835043791350398,0.07991748016267515,0.15355874897053337,0.3183431952662722,0.0761608462551223,0.0,0.23778870724815393,7
HM_TO_BUCKET_RATIO,0.09942809403673566,0.0949626766458076,0.013672675414014502,181,0.0615392703003155,0.01385889654528255,1.0,1.1093827694772602,Ratios,Ratios indicator relevant to EAF tap-to-tap practice.,0.29055612438639344,0.9900406463357727,0.025312116243975308,0.06718200767386873,0.17514792899408285,0.0341146154873213,0.0,0.19385472504580878,8
BUCKET_X_DOLO,0.25176245209501463,0.07114839517105942,0.009219264295034904,150,0.07727311160375712,0.011341520426185647,1.0,2.7316879208658196,Interactions,Interactions indicator relevant to EAF tap-to-tap practice.,0.7361206985906114,0.7417630339510697,0.02071433915918438,0.045299743163770674,0.13846153846153847,0.04474653752473747,0.0,0.19075516289764796,9
CPC_X_DRI,0.10683990198773301,0.018517320451083563,0.04170461553672737,385,0.13263742541021692,0.05299912050687637,1.0,2.17732977108241,Interactions,Interactions indicator relevant to EAF tap-to-tap practice.,0.3122350095431231,0.19305374022022947,0.09679846405629979,0.20491964565708304,0.4165680473372781,0.08215819413758049,0.0,0.18515559840869905,10
