Feature,Category,Correlation with target,Mutual Information,Random Forest importance,LightGBM importance,SHAP importance,Selection frequency,Cluster ID,Current VIF,Missing %,Industrial meaning
HM,Raw variables,-0.01760387470034928,0.009951226332029606,0.0146381665521024,,0.1054292697785618,1.0,15.0,inf,0.0,Hot metal charge affecting liquid heat input.
DRI,Raw variables,-0.17101676028801402,0.10762628175256062,0.0074953359487545,,0.0421391009583317,1.0,8.0,inf,0.0,Direct reduced iron solid burden.
HBI,Raw variables,0.08137692795269423,0.0060269474389591515,0.0010287605423374,,0.0160873426537047,0.0,1.0,inf,0.0,Hot briquetted iron metallic input.
Bucket,Raw variables,0.30311884984631016,0.09881533609610305,0.0715847720974962,,0.8624927030392399,1.0,2.0,inf,0.0,Scrap bucket / scrap charging practice.
LIME,Raw variables,0.11289607191477127,0.028563049074280755,0.0080509431747904,,0.0344862953813447,1.0,6.0,inf,0.0,Lime flux for slag formation.
DOLO,Raw variables,-0.0018133054162207455,0.011952565978886831,0.0055480759303911,,0.1403552323699732,0.0,3.0,inf,0.0,Dolomite flux for slag and refractory protection.
CPC,Raw variables,0.20405126366243867,0.021093360360189273,0.0101516909983244,,0.077869657360949,1.0,4.0,63565.05376216388,0.0,Carbon injection practice.
POWER,Raw variables,0.47235859707210126,0.18326271215840872,0.0558248862690895,,0.4604266942413461,1.0,18.0,48171.21236197043,0.0,Electrical energy delivered to the furnace.
OXY,Raw variables,0.37613248282879247,0.101415045474198,0.0213424151329578,,0.2121655250737685,1.0,16.0,68134.93943198217,0.0,Oxygen blowing intensity.
T C,Raw variables,0.22466161035869206,0.04360237339693729,0.0112301814253746,,0.1094851014691787,1.0,10.0,inf,0.0,Total charge size.
TOTAL_METALLIC_INPUT,Burden,0.22454920987841157,0.04374909002444305,,,,0.0,10.0,inf,0.0,Burden indicator relevant to EAF tap-to-tap practice.
VIRGIN_BURDEN,Burden,-0.14149960320114252,0.0932858870989719,0.0114507051610589,,0.0615550354635574,1.0,50.0,inf,0.0,Burden indicator relevant to EAF tap-to-tap practice.
SOLID_BURDEN,Burden,0.2769678089730146,0.0892284836143098,0.0121648117976128,,0.0377614705035719,1.0,49.0,inf,0.0,Burden indicator relevant to EAF tap-to-tap practice.
TOTAL_FLUX,Operational,0.10887434562603814,0.01523314137652143,,,,0.0,9.0,inf,0.0,Operational indicator relevant to EAF tap-to-tap practice.
CHARGE_BALANCE_ERROR,Operational,-0.008264332136769673,0.0,1.2376303445377371e-06,,0.0228708344806937,0.0,11.0,inf,0.0,Operational indicator relevant to EAF tap-to-tap practice.
CHARGE_DEVIATION_FROM_120,Operational,0.22466161035869203,0.043381715693480594,,,,0.0,,inf,0.0,Operational indicator relevant to EAF tap-to-tap practice.
RELATIVE_CHARGE_DEVIATION,Operational,0.22466161035869206,0.043381715693480594,,,,0.0,,inf,0.0,Operational indicator relevant to EAF tap-to-tap practice.
HM_PCT_TC,Burden,-0.18352112108406987,0.018550785054189944,,,,0.0,,inf,0.0,Burden indicator relevant to EAF tap-to-tap practice.
HM_SHARE_METALLIC,Burden,-0.18342993662102583,0.01839275902754789,,,,0.0,5.0,inf,0.0,Burden indicator relevant to EAF tap-to-tap practice.
DRI_PCT_TC,Burden,-0.2398662193366177,0.08797076782612123,0.0105848900876762,,0.0997563925900953,1.0,12.0,inf,0.0,Burden indicator relevant to EAF tap-to-tap practice.
DRI_SHARE_METALLIC,Burden,-0.23985603911074463,0.08756023921469591,,,,0.0,12.0,inf,0.0,Burden indicator relevant to EAF tap-to-tap practice.
HBI_PCT_TC,Burden,0.07849523221595232,0.003715031598735319,,,,0.0,1.0,inf,0.0,Burden indicator relevant to EAF tap-to-tap practice.
HBI_SHARE_METALLIC,Burden,0.07850240250399129,0.003547330786439762,,,,0.0,,inf,0.0,Burden indicator relevant to EAF tap-to-tap practice.
BUCKET_PCT_TC,Burden,0.2941412807606527,0.09826138914794935,,,,0.0,,inf,0.0,Burden indicator relevant to EAF tap-to-tap practice.
BUCKET_SHARE_METALLIC,Burden,0.29414517807265383,0.09817082105709751,,,,0.0,,inf,0.0,Burden indicator relevant to EAF tap-to-tap practice.
HM_TO_DRI_RATIO,Ratios,0.13061978806595964,0.04052910497556361,0.0088223931633348,,0.0449718060946752,1.0,37.0,4.506605152334193,0.008262414277451871,Ratios indicator relevant to EAF tap-to-tap practice.
