Feature,Pearson,Mutual Information,Random Forest importance,LightGBM importance,SHAP importance,Permutation importance
BUCKET_X_CPC,0.3102477982703932,0.09591795750737386,0.1525319342719954,126,1.490922151754312,0.45721753924215436
BURDEN_SHARE_RANGE,-0.20656037885494075,0.0655603439939787,0.03125180393310702,302,0.12376214213668936,0.04375643976420993
FLUX_PER_TONNE,0.023185603487359662,0.005790937953581654,0.047074526848353726,415,0.10458801252810156,0.05852503493210152
BUCKET_X_DOLO,0.25176245209501463,0.07114839517105942,0.009219264295034904,150,0.07727311160375712,0.011341520426185647
CPC_X_DRI,0.10683990198773301,0.018517320451083563,0.04170461553672737,385,0.13263742541021692,0.05299912050687637
HM_TO_DRI_RATIO,0.1306098194167104,0.04009968128003916,0.05232838821809082,369,0.21925170797369747,0.10651032766025499
HM_TO_BUCKET_RATIO,0.09942809403673566,0.0949626766458076,0.013672675414014502,181,0.0615392703003155,0.01385889654528255
SOLID_BURDEN_RATIO,0.183336662068058,0.018557604582468912,0.0651442975281271,523,0.565407531850407,0.14987049597584992
BUCKET_X_HBI,0.10308125892064139,0.016223299422762683,0.002070222940918838,34,0.01308633455881012,0.0014567588290852918
DOLO_X_LIME,0.0297594262421439,0.008638260424694622,0.03277744642879562,336,0.0692616742595072,0.038812020032941784
CPC_X_HBI,0.09780589213618379,0.009363140741912357,0.0049830019394654845,73,0.020800084177564824,0.004020046879230854
HBI_SQ,0.0877252052832779,0.006158046787054339,0.0026370690204715694,46,0.013334174312723513,0.0021059274892263
POWER_PER_TONNE,0.34198031570515486,0.08450631692441757,0.09196804456862248,533,0.5319055638011653,0.17284479148446485
HM_X_POWER,0.30328848102940403,0.05454677388133167,0.20351692197690394,878,1.4508531789678876,0.5475202630906529
OXYGEN_PER_TONNE,0.2667520673493344,0.040437572567626034,0.17293623694651458,742,1.087681146097235,0.3832927881546733
DOLO_X_HBI,0.06787777545130735,0.005884807141476767,0.0036781459897424324,77,0.01659451982416216,0.00344976878736174
DOLO_SQ,0.010555798579229059,0.012433374516406914,0.019551705888259087,201,0.18309284782884416,0.023654585366242507
FLUX_TO_CARBON_RATIO,-0.08344583968659537,0.014092699398508657,0.03286789950099577,373,0.11758639993928358,0.03633944113894962
DRI_TO_HBI_RATIO,-0.004174173209208992,0.007857679625570047,0.010463714836010227,150,0.02866050909976322,0.009697914852476975
SHIFT_C,-8.967430856396138e-05,0.0014647076931937342,0.002546609909732315,33,0.011054142181760374,0.002678154662395971
SHIFT_LABEL,-0.016641320081163934,0.011402170966349434,0.007075474008116879,36,0.013901114556246265,0.008147485083341921
CHARGE_BALANCE_ERROR,-0.008264332136769673,0.0,0.0,37,0.020984785405948756,0.0
