Feature,Selection frequency,Stability score,Mean importance,Std importance
BUCKET_X_CPC,100,1.0,0.15924907962780688,0.008770341518471898
BURDEN_SHARE_RANGE,100,1.0,0.029963054687018945,0.002079511712986852
FLUX_PER_TONNE,100,1.0,0.042565349404633794,0.0029806011180655407
BUCKET_X_DOLO,100,1.0,0.008556418256333128,0.0008147796179234285
CPC_X_DRI,100,1.0,0.04088739326165599,0.003102365665931671
HM_TO_DRI_RATIO,100,1.0,0.05019126824482709,0.004209196894608276
HM_TO_BUCKET_RATIO,100,1.0,0.012369747891679312,0.0012605650196843479
SOLID_BURDEN_RATIO,100,1.0,0.06423389803256066,0.0055077521763467014
BUCKET_X_HBI,100,1.0,0.001883482800530161,0.0007987823602920203
DOLO_X_LIME,100,1.0,0.029245973674337608,0.002923781198319351
CPC_X_HBI,100,1.0,0.0057455263769864455,0.001442748111511896
HBI_SQ,100,1.0,0.0028201358883387095,0.0005495149758343578
POWER_PER_TONNE,100,1.0,0.09567344376589551,0.00847166013932065
HM_X_POWER,100,1.0,0.20979773535039642,0.008769606094161598
OXYGEN_PER_TONNE,100,1.0,0.17561139466577189,0.007471966697531731
DOLO_X_HBI,100,1.0,0.00366854471380325,0.0007496388671832016
DOLO_SQ,100,1.0,0.01780891404179231,0.0012991333317794137
FLUX_TO_CARBON_RATIO,100,1.0,0.030206683324819805,0.0017828909300385326
DRI_TO_HBI_RATIO,100,1.0,0.011218728197895626,0.0029802811479158107
SHIFT_C,100,1.0,0.0022643098592203905,0.0002595018562086291
SHIFT_LABEL,100,1.0,0.006038198052970376,0.0004656693577643005
CHARGE_BALANCE_ERROR,100,1.0,7.198807257062826e-07,2.266890058793567e-06
