Feature_Set,Model,N_Features
HM_X_POWER,StackingRegressor,22
BUCKET_X_CPC,StackingRegressor,22
OXYGEN_PER_TONNE,StackingRegressor,22
POWER_PER_TONNE,StackingRegressor,22
SOLID_BURDEN_RATIO,StackingRegressor,22
HM_TO_DRI_RATIO,StackingRegressor,22
BURDEN_SHARE_RANGE,StackingRegressor,22
HM_TO_BUCKET_RATIO,StackingRegressor,22
BUCKET_X_DOLO,StackingRegressor,22
CPC_X_DRI,StackingRegressor,22
FLUX_PER_TONNE,StackingRegressor,22
FLUX_TO_CARBON_RATIO,StackingRegressor,22
DOLO_X_LIME,StackingRegressor,22
DOLO_SQ,StackingRegressor,22
CPC_X_HBI,StackingRegressor,22
DRI_TO_HBI_RATIO,StackingRegressor,22
BUCKET_X_HBI,StackingRegressor,22
DOLO_X_HBI,StackingRegressor,22
HBI_SQ,StackingRegressor,22
SHIFT_LABEL,StackingRegressor,22
SHIFT_C,StackingRegressor,22
CHARGE_BALANCE_ERROR,StackingRegressor,22
