Cluster,N,Mean_TTT,Mean_MAE,Median_MAE,Mean_Bias,Pct_of_test
Shutdown (>120min),43,697.0325581395349,618.8424019796765,704.578260832158,-618.8424019796765,1.6849529780564263
Long heats (>60min),116,304.5120689655172,261.04186357692754,46.76158135216541,-218.71912723538057,4.545454545454546
High HM (>70t),36,126.94444444444444,109.01958862577308,31.455963623554965,-52.804892673397525,1.4106583072100314
High OXY (>4000),464,66.33491379310345,55.36524643102149,23.452497245428795,6.917063683484615,18.181818181818183
High charge (>125t),527,60.814421252371915,46.72519843638354,21.18886804701761,9.09076874905727,20.650470219435736
Shift B,824,60.365048543689326,46.32948259203948,16.772143073330884,3.7302859712882577,32.288401253918494
High DRI (>60t),1048,54.241793893129774,41.24154566085799,18.801711009114396,7.058735874959854,41.06583072100314
High flux (>12t),2060,52.83300970873786,37.57446346286569,16.69568873569346,8.871170327590315,80.72100313479623
High scrap (>15t),842,55.94608076009501,34.9717674388701,13.604645076251511,7.014791666328603,32.99373040752351
Shift C,885,48.371751412429376,33.64548490820416,16.37845571232544,15.670211154948074,34.67868338557994
Low OXY (<3000),49,53.75918367346939,33.36609288914844,12.631992098263034,-0.370718127205094,1.9200626959247649
Low charge (<115t),480,49.56041666666667,29.93407662996545,12.624703684936165,4.834746693541873,18.808777429467085
Shift A,843,50.468564650059314,28.286730430174703,13.284919371222593,1.0222609599833454,33.03291536050157
Short heats (<35min),195,32.37128205128205,21.948084492959307,13.29221071589999,19.249462877719477,7.641065830721003
