Feature,Permutation_MAE_increase
DRI_X_HM,0.08470744201693708
CPC_X_DRI,0.06497331883142604
CHARGE_DEVIATION_FROM_120,0.05964010812918233
HM_SQ,0.032650683193581886
BUCKET_X_CPC,0.031716610406804624
DRI_X_LIME,0.031275825212315395
CARBON_TO_OXYGEN_RATIO,0.03097075547379352
DRI_FRAC,0.028728036624465825
FLUX_TO_CARBON_RATIO,0.027089047844283065
HM_X_OXY_NORM,0.02336435736757747
FLUX_PER_TONNE,0.021561021131860925
DOLO_X_DRI,0.019126964552972553
HM_FRAC,0.017848980106896117
DOLO_PER_TONNE,0.017555455761694233
CHARGE_SIZE_TC,0.016936773603423216
DOLO_X_HM,0.016513420430935927
CARBON_PER_TONNE,0.01571096304005956
SOLID_BURDEN_RATIO,0.014023068691357804
DRI_SQ,0.013199553813967757
HM_TO_BUCKET_RATIO,0.013179652905188965
VIRGIN_TO_SCRAP_RATIO,0.012429038497419803
BUCKET_X_HM,0.01149680870774994
OXY_PER_HM,0.01095900647799461
LIME_SQ,0.009424660966423554
FLUX_PER_SOLID_BURDEN,0.00876333374445798
SCRAP_FRAC,0.007022476841102188
OXYGEN_PER_TONNE,0.006869382735785606
DOLO_X_LIME,0.0060464922546094035
HM_TO_DRI_RATIO,0.005665265105990247
BUCKET_X_DRI,0.005333861509034393
SHIFT_LABEL,0.00490487002979606
RELATIVE_CHARGE_DEVIATION,0.004715373202958673
VIRGIN_BURDEN_RATIO,0.004438487930165436
LIME_TO_DOLO_RATIO,0.004433641362957236
LIME_PER_TONNE,0.004433153647352139
BURDEN_SHARE_RANGE,0.00244591659291038
BUCKET_SQ,0.001824197589963189
HM_TO_HBI_RATIO,0.001096094298640743
LIQUID_BURDEN_RATIO,0.0010511694597006571
SHIFT_C,0.0005796811351186371
DOLO_SQ,0.0005457525720224676
DRI_DOMINANCE,0.00046534193763492215
HM_X_LIME,0.00027672728018190984
BUCKET_X_HBI,0.00019201446038061287
DRI_TO_HBI_RATIO,7.188017931863966e-05
DOLO_X_HBI,6.360002419789068e-05
HBI_SQ,5.8709543813872944e-05
LIQUID_TO_SOLID_RATIO,3.632589283902865e-05
HBI_FRAC,6.092184334366424e-06
HM_DOMINANCE,1.607084001986614e-06
CPC_X_HBI,-0.000184827954488459
DRI_TO_BUCKET_RATIO,-0.0002623480279266288
SCRAP_DOMINANCE,-0.0011408709127713468
SHIFT_B,-0.0014080682044741166
BUCKET_X_DOLO,-0.0023102366699411236
SHIFT_A,-0.0029222110633605747
