Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1,ROC_AUC_OVR,Precision_NORMAL,Recall_NORMAL,F1_NORMAL,Precision_LONG,Recall_LONG,F1_LONG,Precision_DELAY,Recall_DELAY,F1_DELAY,Precision_SHUTDOWN,Recall_SHUTDOWN,F1_SHUTDOWN,Abnormal_Recall,Schema,ROC_AUC,Precision_ABNORMAL,Recall_ABNORMAL,F1_ABNORMAL
CatBoost,0.9807993730407524,0.554245283018868,0.5102329288978282,0.5147592383480208,0.9742774199362959,,0.9834905660377359,0.9972100438421682,0.9903027904215318,,,,0.125,0.023255813953488372,0.0392156862745098,,,,0.023255813953488372,2class_delay_detection,0.5629964685272554,,,
LightGBM,0.9804075235109718,0.5472975925197711,0.510033646315126,0.5142822339971984,0.9740682195735844,,0.983484073928431,0.9968114786767637,0.9901029295328583,,,,0.1111111111111111,0.023255813953488372,0.038461538461538464,,,,0.023255813953488372,2class_delay_detection,0.5251698536431637,,,
BalancedRandomForest,0.8781347962382445,0.5206719952634695,0.6294502581404617,0.5139860246916301,0.9205006786680678,,0.9880106571936057,0.8868074930251096,0.9346775887418609,,,,0.05333333333333334,0.37209302325581395,0.09329446064139942,,,,0.37209302325581395,2class_delay_detection,0.5892183488279403,,,
ExtraTrees,0.9525862068965517,0.5097534151423941,0.5187418317313485,0.5114661300248862,0.9600443195364438,,0.9837925445705025,0.9677162216022319,0.9756881655615833,,,,0.03571428571428571,0.06976744186046512,0.047244094488188976,,,,0.06976744186046512,2class_delay_detection,0.5407787777952858,,,
XGBoost,0.9831504702194357,0.49157523510971785,0.5,0.4957518277020352,0.9747972850348011,,0.9831504702194357,1.0,0.9915036554040704,,,,0.0,0.0,0.0,,,,0.0,2class_delay_detection,0.5439348577678497,,,
RandomForest,0.981974921630094,0.4915653197332287,0.49940215225189316,0.49545274812178725,0.9742092045748935,,0.9831306394664574,0.9988043045037863,0.9909054962435745,,,,0.0,0.0,0.0,,,,0.0,2class_delay_detection,0.5373956083680147,,,
LightGBM,0.9408307210031348,0.6311697092630155,0.5995484400656814,0.6126737983501909,0.9367794009703825,,0.9634888438133874,0.9749589490968801,0.9691899612324015,,,,,,,,,,0.22413793103448276,2class_normal_vs_abnormal,0.7000346809353944,0.2988505747126437,0.22413793103448276,0.2561576354679803
CatBoost,0.9408307210031348,0.6231570164525783,0.5872331691297208,0.601365086031661,0.9357855841776563,,0.962363415621206,0.9761904761904762,0.969227633992256,,,,,,,,,,0.19827586206896552,2class_normal_vs_abnormal,0.6894569956401111,0.2839506172839506,0.19827586206896552,0.233502538071066
RandomForest,0.950626959247649,0.6760991012873452,0.5718390804597702,0.5983632357570035,0.9403096116977137,,0.9608938547486033,0.9885057471264368,0.9745042492917847,,,,,,,,,,0.15517241379310345,2class_normal_vs_abnormal,0.6613795934545044,0.391304347826087,0.15517241379310345,0.2222222222222222
ExtraTrees,0.9134012539184952,0.568554179622861,0.5933908045977011,0.5781909670258825,0.9200317870658217,,0.9631953157674613,0.9454022988505747,0.9542158690698156,,,,,,,,,,0.2413793103448276,2class_normal_vs_abnormal,0.6885156559651209,0.17391304347826086,0.2413793103448276,0.20216606498194944
