Schema,Model,Actual,Predicted,Count
4class_standard,LightGBM,NORMAL,NORMAL,2409
4class_standard,LightGBM,NORMAL,LONG,21
4class_standard,LightGBM,NORMAL,DELAY,0
4class_standard,LightGBM,NORMAL,SHUTDOWN,6
4class_standard,LightGBM,LONG,NORMAL,65
4class_standard,LightGBM,LONG,LONG,8
4class_standard,LightGBM,LONG,DELAY,0
4class_standard,LightGBM,LONG,SHUTDOWN,0
4class_standard,LightGBM,DELAY,NORMAL,6
4class_standard,LightGBM,DELAY,LONG,0
4class_standard,LightGBM,DELAY,DELAY,0
4class_standard,LightGBM,DELAY,SHUTDOWN,0
4class_standard,LightGBM,SHUTDOWN,NORMAL,35
4class_standard,LightGBM,SHUTDOWN,LONG,2
4class_standard,LightGBM,SHUTDOWN,DELAY,0
4class_standard,LightGBM,SHUTDOWN,SHUTDOWN,0
4class_standard,CatBoost,NORMAL,NORMAL,2310
4class_standard,CatBoost,NORMAL,LONG,103
4class_standard,CatBoost,NORMAL,DELAY,1
4class_standard,CatBoost,NORMAL,SHUTDOWN,22
4class_standard,CatBoost,LONG,NORMAL,50
4class_standard,CatBoost,LONG,LONG,20
4class_standard,CatBoost,LONG,DELAY,1
4class_standard,CatBoost,LONG,SHUTDOWN,2
4class_standard,CatBoost,DELAY,NORMAL,4
4class_standard,CatBoost,DELAY,LONG,1
4class_standard,CatBoost,DELAY,DELAY,0
4class_standard,CatBoost,DELAY,SHUTDOWN,1
4class_standard,CatBoost,SHUTDOWN,NORMAL,32
4class_standard,CatBoost,SHUTDOWN,LONG,2
4class_standard,CatBoost,SHUTDOWN,DELAY,0
4class_standard,CatBoost,SHUTDOWN,SHUTDOWN,3
4class_standard,XGBoost,NORMAL,NORMAL,2432
4class_standard,XGBoost,NORMAL,LONG,4
4class_standard,XGBoost,NORMAL,DELAY,0
4class_standard,XGBoost,NORMAL,SHUTDOWN,0
4class_standard,XGBoost,LONG,NORMAL,66
4class_standard,XGBoost,LONG,LONG,7
4class_standard,XGBoost,LONG,DELAY,0
4class_standard,XGBoost,LONG,SHUTDOWN,0
4class_standard,XGBoost,DELAY,NORMAL,6
4class_standard,XGBoost,DELAY,LONG,0
4class_standard,XGBoost,DELAY,DELAY,0
4class_standard,XGBoost,DELAY,SHUTDOWN,0
4class_standard,XGBoost,SHUTDOWN,NORMAL,35
4class_standard,XGBoost,SHUTDOWN,LONG,1
4class_standard,XGBoost,SHUTDOWN,DELAY,0
4class_standard,XGBoost,SHUTDOWN,SHUTDOWN,1
4class_standard,RandomForest,NORMAL,NORMAL,2422
4class_standard,RandomForest,NORMAL,LONG,11
4class_standard,RandomForest,NORMAL,DELAY,0
4class_standard,RandomForest,NORMAL,SHUTDOWN,3
4class_standard,RandomForest,LONG,NORMAL,66
4class_standard,RandomForest,LONG,LONG,7
4class_standard,RandomForest,LONG,DELAY,0
4class_standard,RandomForest,LONG,SHUTDOWN,0
4class_standard,RandomForest,DELAY,NORMAL,6
4class_standard,RandomForest,DELAY,LONG,0
4class_standard,RandomForest,DELAY,DELAY,0
4class_standard,RandomForest,DELAY,SHUTDOWN,0
4class_standard,RandomForest,SHUTDOWN,NORMAL,37
4class_standard,RandomForest,SHUTDOWN,LONG,0
4class_standard,RandomForest,SHUTDOWN,DELAY,0
4class_standard,RandomForest,SHUTDOWN,SHUTDOWN,0
4class_standard,ExtraTrees,NORMAL,NORMAL,2241
4class_standard,ExtraTrees,NORMAL,LONG,83
4class_standard,ExtraTrees,NORMAL,DELAY,9
4class_standard,ExtraTrees,NORMAL,SHUTDOWN,103
4class_standard,ExtraTrees,LONG,NORMAL,52
4class_standard,ExtraTrees,LONG,LONG,19
4class_standard,ExtraTrees,LONG,DELAY,1
4class_standard,ExtraTrees,LONG,SHUTDOWN,1
4class_standard,ExtraTrees,DELAY,NORMAL,4
4class_standard,ExtraTrees,DELAY,LONG,2
4class_standard,ExtraTrees,DELAY,DELAY,0
4class_standard,ExtraTrees,DELAY,SHUTDOWN,0
4class_standard,ExtraTrees,SHUTDOWN,NORMAL,33
4class_standard,ExtraTrees,SHUTDOWN,LONG,1
4class_standard,ExtraTrees,SHUTDOWN,DELAY,1
4class_standard,ExtraTrees,SHUTDOWN,SHUTDOWN,2
4class_standard,BalancedRandomForest,NORMAL,NORMAL,1510
4class_standard,BalancedRandomForest,NORMAL,LONG,398
4class_standard,BalancedRandomForest,NORMAL,DELAY,172
4class_standard,BalancedRandomForest,NORMAL,SHUTDOWN,356
4class_standard,BalancedRandomForest,LONG,NORMAL,20
4class_standard,BalancedRandomForest,LONG,LONG,40
4class_standard,BalancedRandomForest,LONG,DELAY,6
4class_standard,BalancedRandomForest,LONG,SHUTDOWN,7
4class_standard,BalancedRandomForest,DELAY,NORMAL,0
4class_standard,BalancedRandomForest,DELAY,LONG,5
4class_standard,BalancedRandomForest,DELAY,DELAY,1
4class_standard,BalancedRandomForest,DELAY,SHUTDOWN,0
4class_standard,BalancedRandomForest,SHUTDOWN,NORMAL,16
4class_standard,BalancedRandomForest,SHUTDOWN,LONG,8
4class_standard,BalancedRandomForest,SHUTDOWN,DELAY,3
4class_standard,BalancedRandomForest,SHUTDOWN,SHUTDOWN,10
3class_phase16,LightGBM,NORMAL,NORMAL,2406
3class_phase16,LightGBM,NORMAL,DELAY,28
3class_phase16,LightGBM,NORMAL,SHUTDOWN,2
3class_phase16,LightGBM,DELAY,NORMAL,67
3class_phase16,LightGBM,DELAY,DELAY,12
3class_phase16,LightGBM,DELAY,SHUTDOWN,0
3class_phase16,LightGBM,SHUTDOWN,NORMAL,35
3class_phase16,LightGBM,SHUTDOWN,DELAY,2
3class_phase16,LightGBM,SHUTDOWN,SHUTDOWN,0
3class_phase16,CatBoost,NORMAL,NORMAL,2318
3class_phase16,CatBoost,NORMAL,DELAY,93
3class_phase16,CatBoost,NORMAL,SHUTDOWN,25
3class_phase16,CatBoost,DELAY,NORMAL,52
3class_phase16,CatBoost,DELAY,DELAY,26
3class_phase16,CatBoost,DELAY,SHUTDOWN,1
3class_phase16,CatBoost,SHUTDOWN,NORMAL,30
3class_phase16,CatBoost,SHUTDOWN,DELAY,3
