Feature,Permutation_MAE_increase,Stage
HM_X_OXY_NORM,0.044433275392755635,Normal
OXY_PER_HM,0.020780416562550606,Normal
OXYGEN_PER_TONNE,0.014551689442992788,Normal
DRI_X_LIME,0.013499138748462003,Normal
BUCKET_X_CPC,0.012331615148601793,Normal
RELATIVE_CHARGE_DEVIATION,0.008963146050001059,Normal
DRI_TO_BUCKET_RATIO,0.007247665047837715,Normal
DOLO_X_HM,0.007155452278352015,Normal
VIRGIN_TO_SCRAP_RATIO,0.00558647259472349,Normal
CPC_X_DRI,0.005218788815049247,Normal
DRI_X_HM,0.004743285930166485,Normal
BUCKET_SQ,0.00442880893587938,Normal
HM_TO_BUCKET_RATIO,0.004025598169364231,Normal
DRI_SQ,0.0038068722713621604,Normal
SCRAP_FRAC,0.003528397769726954,Normal
CHARGE_DEVIATION_FROM_120,0.003476964020005013,Normal
HM_X_LIME,0.003291496716653142,Normal
FLUX_PER_TONNE,0.003222025695462416,Normal
CHARGE_SIZE_TC,0.003179664888386591,Normal
BURDEN_SHARE_RANGE,0.0024768496627812107,Normal
DRI_DOMINANCE,0.0022860345215280466,Normal
CARBON_PER_TONNE,0.0022373298236382675,Normal
FLUX_TO_CARBON_RATIO,0.0021696960478925663,Normal
VIRGIN_BURDEN_RATIO,0.002051695434497769,Normal
DOLO_X_DRI,0.0018642738660295643,Normal
DOLO_SQ,0.001643017699279259,Normal
BUCKET_X_HM,0.001505733119584618,Normal
HM_SQ,0.0015002193430180498,Normal
BUCKET_X_DOLO,0.0014119260450638827,Normal
LIME_SQ,0.0013574283990634762,Normal
HM_TO_DRI_RATIO,0.0012646088801167243,Normal
LIME_TO_DOLO_RATIO,0.001231093778591341,Normal
FLUX_PER_SOLID_BURDEN,0.0009851914172797072,Normal
BUCKET_X_DRI,0.0009405712091914431,Normal
DRI_TO_HBI_RATIO,0.000803363627837328,Normal
DOLO_PER_TONNE,0.0007557600435161849,Normal
DOLO_X_HBI,0.0007437475184067343,Normal
SCRAP_DOMINANCE,0.0007209757108827652,Normal
CPC_X_HBI,0.0005821734569426695,Normal
BUCKET_X_HBI,0.000435268761130847,Normal
HBI_SQ,0.0003281235771293911,Normal
SOLID_BURDEN_RATIO,0.00028615962655624826,Normal
HBI_FRAC,0.00018809916714590535,Normal
HM_TO_HBI_RATIO,9.286569513773379e-05,Normal
DRI_FRAC,2.8215428198707927e-05,Normal
SHIFT_B,-6.540533480021704e-05,Normal
LIQUID_BURDEN_RATIO,-7.830351387561052e-05,Normal
DOLO_X_LIME,-0.00013771721983373285,Normal
LIME_PER_TONNE,-0.0002841342226207466,Normal
HM_DOMINANCE,-0.00042291134576528667,Normal
SHIFT_A,-0.0007070386976637088,Normal
HM_FRAC,-0.0007165730986615993,Normal
LIQUID_TO_SOLID_RATIO,-0.0009208925012998525,Normal
CARBON_TO_OXYGEN_RATIO,-0.0010671348391498193,Normal
SHIFT_LABEL,-0.0022824267312248512,Normal
SHIFT_C,-0.0025014043775401394,Normal
