Feature,Mean_ABS_SHAP,Stage
HM_X_OXY_NORM,0.5680723539078167,Normal
BUCKET_X_CPC,0.367748759182044,Normal
DRI_TO_BUCKET_RATIO,0.3392108566520237,Normal
OXY_PER_HM,0.3380975947747067,Normal
RELATIVE_CHARGE_DEVIATION,0.3173438686805107,Normal
OXYGEN_PER_TONNE,0.2948778749420097,Normal
VIRGIN_TO_SCRAP_RATIO,0.29136985623526146,Normal
DRI_X_LIME,0.2829799403029095,Normal
BUCKET_SQ,0.27441375819373975,Normal
CHARGE_DEVIATION_FROM_120,0.23436009555894033,Normal
LIME_TO_DOLO_RATIO,0.1956304365103589,Normal
HM_X_LIME,0.18617037242322498,Normal
VIRGIN_BURDEN_RATIO,0.17048228218775857,Normal
CHARGE_SIZE_TC,0.15818075952776722,Normal
HM_TO_BUCKET_RATIO,0.149580134821062,Normal
LIME_SQ,0.14291366222780497,Normal
SCRAP_DOMINANCE,0.13606565269989923,Normal
SCRAP_FRAC,0.1263295161682836,Normal
CPC_X_DRI,0.10264663733798579,Normal
FLUX_PER_TONNE,0.09699181741743598,Normal
FLUX_TO_CARBON_RATIO,0.0890571710281739,Normal
DOLO_PER_TONNE,0.08868174393080522,Normal
DOLO_X_LIME,0.0858440154635254,Normal
CARBON_PER_TONNE,0.08362452477370554,Normal
BUCKET_X_DRI,0.07854028251358813,Normal
LIQUID_TO_SOLID_RATIO,0.07821582022359005,Normal
DRI_X_HM,0.07155248933901844,Normal
CARBON_TO_OXYGEN_RATIO,0.06754123052295391,Normal
DRI_SQ,0.06734507734985966,Normal
SOLID_BURDEN_RATIO,0.06719857376486268,Normal
BURDEN_SHARE_RANGE,0.0670263331342338,Normal
HM_SQ,0.06218309085648567,Normal
DOLO_X_HM,0.05954212910666693,Normal
SHIFT_B,0.05924738172309249,Normal
HM_DOMINANCE,0.059031678960466,Normal
DOLO_SQ,0.05494106108078808,Normal
SHIFT_C,0.05268153352471242,Normal
LIME_PER_TONNE,0.05184531140725915,Normal
DRI_FRAC,0.049976736438156644,Normal
HM_TO_DRI_RATIO,0.04980449795592034,Normal
SHIFT_LABEL,0.04910042137454515,Normal
DOLO_X_DRI,0.04909185364531024,Normal
HM_FRAC,0.04887025824757847,Normal
LIQUID_BURDEN_RATIO,0.04172920416308288,Normal
FLUX_PER_SOLID_BURDEN,0.04113438552177904,Normal
BUCKET_X_DOLO,0.04090888522931023,Normal
DRI_DOMINANCE,0.04061311064715883,Normal
BUCKET_X_HM,0.02594818805744139,Normal
SHIFT_A,0.019075434896501535,Normal
DRI_TO_HBI_RATIO,0.012063472788784805,Normal
HM_TO_HBI_RATIO,0.009777521007203773,Normal
HBI_FRAC,0.005535189833711557,Normal
DOLO_X_HBI,0.00485659280237771,Normal
CPC_X_HBI,0.004856045602291677,Normal
BUCKET_X_HBI,0.00440262797689092,Normal
HBI_SQ,0.0038112792777339937,Normal
