Heat Number,TTT,KMeans,GMM,Hierarchical,DBSCAN,PC1,PC2,HM,DRI,Bucket,OXY,CPC,LIME,DOLO,T C
4515001,39.0,0,0,0,0,-3.3641333202243233,2.6459135931496935,63.23,57.3,0.0,3894.0,594.0,9.4,2.1,120.53
4515002,43.0,0,0,0,-1,-4.2482502834928955,5.17783307937907,68.43,55.0,0.0,4280.0,809.0,10.6,2.2,123.43
4515003,42.0,0,0,0,0,-3.6773772644736886,0.8973191606835068,65.01,61.1,0.0,3961.0,732.0,11.0,2.3,126.11000000000001
4515004,37.0,0,0,0,0,-3.8330787873349226,1.8590251762117587,61.48,58.1,0.0,3339.0,480.0,10.6,2.1,119.58
4515005,40.0,0,0,0,-1,-3.138968711297751,0.8785167440756136,70.92,65.5,0.0,4345.0,603.0,10.8,2.4,136.42000000000002
4515006,52.0,0,0,0,-1,-2.1763948015100683,-0.4370529603135818,61.25,62.1,0.0,3925.0,1225.0,8.7,2.1,123.35
4515007,38.0,0,0,0,-1,-4.696374973522217,1.657312331441734,57.97,53.2,0.0,3420.0,875.0,11.0,2.4,111.17
4515008,44.0,1,1,1,-1,2.3284311759341234,4.544029241740998,70.95,41.9,18.57,3625.0,519.0,11.3,2.1,131.42
4515009,43.0,1,1,1,-1,2.9832769751177826,4.709627957590099,67.72,40.1,18.0,3990.0,853.0,10.1,1.9,125.82
4515010,46.0,1,1,1,1,4.281753032882105,3.230306122596436,57.75,37.7,18.28,3636.0,853.0,8.8,1.7,113.73
4515013,50.0,1,1,1,1,3.9394576594028314,0.12712681258520855,56.84,47.1,16.89,3208.0,564.0,9.3,1.3,120.83
4515014,55.0,1,1,1,1,4.472940811620647,-2.510397435003595,54.99,52.1,17.35,2978.0,660.0,9.8,1.2,124.44
4515015,57.0,1,1,1,1,3.9867144773604526,4.384941879693543,56.54,34.1,20.21,3273.0,464.0,9.5,1.2,110.85
4515016,41.0,0,0,0,0,-2.9875651175569486,-0.6888132229494928,57.5,62.3,0.0,3215.0,614.0,10.6,1.0,119.8
4515017,52.0,1,1,1,1,5.23531591110942,2.4691392012928906,55.64,41.2,18.0,3161.0,580.0,7.7,0.8,114.84
4515018,44.0,0,0,0,0,-2.378903572231906,1.6706629104823798,54.66,55.2,0.0,3012.0,650.0,8.6,0.8,109.86
4515019,53.0,0,0,0,0,-3.7714260971319553,-0.5825897100810545,57.2,60.1,0.0,3295.0,655.0,11.8,1.0,117.30000000000001
4515021,41.0,0,0,0,0,-2.953879670421663,-2.7713204385938335,55.4,67.3,0.0,3089.0,493.0,11.5,0.9,122.69999999999999
4515023,42.0,0,0,0,0,-4.05094112308711,2.0645756217259175,59.42,55.9,0.0,3367.0,523.0,10.6,2.0,115.32
4515024,40.0,0,0,0,0,-3.703527556418208,-1.8683220835868029,57.0,63.4,0.0,3360.0,684.0,11.0,2.2,120.4
4515025,42.0,0,0,0,0,-4.172958632778497,0.5002135163516108,61.21,60.0,0.0,3539.0,402.0,11.1,2.6,121.21000000000001
4515026,43.0,0,0,0,0,-4.097830189141155,2.3319743632869536,55.0,52.7,0.0,3256.0,400.0,10.0,1.9,107.7
4515027,40.0,0,0,0,0,-3.7549482973856776,0.33804379762977005,54.02,55.21,0.0,3199.0,772.0,9.6,2.3,109.23
4515028,45.0,0,0,0,0,-2.915530729703805,0.5822758449464694,60.97,59.7,0.0,3449.0,986.0,10.0,2.0,120.67
4515029,52.0,1,1,1,1,5.016564590228297,-1.8323983976061335,57.35,45.6,21.31,4001.0,944.0,10.7,1.7,124.26
4515030,45.0,1,1,1,-1,5.473895154875615,-5.7175773964988625,44.27,46.4,20.54,3047.0,835.0,10.1,2.4,111.21000000000001
4515031,46.0,1,1,1,-1,3.9502021672169816,-4.061806807095107,50.69,49.9,15.63,3360.0,1179.0,10.4,2.3,116.22
4515032,39.0,0,0,0,0,-3.220943899651868,-1.7932560556584336,58.6,65.7,0.0,3252.0,601.0,11.5,1.2,124.30000000000001
4515033,42.0,1,1,1,1,2.5716710236289932,1.3845165522044676,59.66,45.6,16.33,3420.0,257.0,10.8,1.2,121.58999999999999
4515034,38.0,0,0,0,0,-3.5770876766914084,0.9988642587678773,61.29,60.2,0.0,3442.0,335.0,11.3,1.2,121.49000000000001
4515035,57.0,1,1,1,1,4.618039270454919,-2.1977501870829816,51.29,48.5,16.9,3388.0,677.0,9.2,0.8,116.69
4515036,41.0,0,0,0,0,-3.632736389319449,-0.9654936424660119,56.43,60.3,0.0,3464.0,665.0,11.5,0.9,116.72999999999999
4515037,43.0,1,1,1,1,4.258156657490414,2.214112426624837,57.54,37.7,22.53,3283.0,315.0,10.6,1.1,117.77000000000001
4515038,39.0,1,1,1,1,3.4690526029272672,0.4707931688941568,57.29,49.2,13.14,3131.0,763.0,9.3,1.2,119.63000000000001
4515039,39.0,0,0,0,0,-2.8475811479474387,-0.3309526594550916,58.65,62.9,0.0,3260.0,485.0,9.9,1.3,121.55
4515040,46.0,0,0,0,0,-3.0422314521062286,0.6199664135397271,69.47,64.6,0.0,4012.0,885.0,12.2,1.2,134.07
4515041,37.0,1,1,1,1,2.941527229102788,1.5109976587083478,55.8,42.8,14.63,3420.0,770.0,9.4,1.8,113.22999999999999
4515042,39.0,1,1,1,-1,3.471936212986551,6.70363834369951,57.75,35.5,15.1,3125.0,574.0,8.3,0.1,108.35
4515043,36.0,0,0,0,-1,-3.4739593561290008,5.752961087318599,59.0,52.1,0.0,2969.0,0.0,8.8,1.3,111.1
4515044,40.0,0,0,0,0,-3.540383780611362,3.1596063152238756,65.62,58.2,0.0,3154.0,596.0,11.1,1.4,123.82000000000001
4515045,36.0,0,0,0,-1,-3.146655244387697,0.6511265292262289,56.78,62.1,0.0,3161.0,0.0,10.0,1.0,118.88
