Heat,Current_TTT_V2,V2_Optimized_TTT,V2_Saving_min,V2_Confidence,V2_Similarity_pct,V2_Rules_Satisfied,V2_Rules_Violated,V2_POWER_Changed,V2_Feasible_Count,V20_Optimized_TTT,V20_Saving_min,V20_Status,V20_Acceptance,V20_POWER_Change_kWh,Feasibility_Winner
4618213,43.55,43.76,-0.21,Medium,42.1,5,0,False,76,43.15,0.4,Success,Rejected (POWER),-1494.0,V2
4618212,41.92,41.11,0.81,High,50.1,7,0,False,145,40.49,1.43,Success,Rejected (POWER),-1590.0,V2
4618211,47.18,45.16,2.02,High,54.3,7,0,False,144,,,Failed: No valid local candidates generated. Relax constraints or check current recipe.,Failed,,V2
4618210,46.52,44.98,1.55,High,43.8,6,0,False,150,,,Failed: No valid local candidates generated. Relax constraints or check current recipe.,Failed,,V2
4618209,44.38,43.72,0.66,High,52.6,5,0,False,147,42.5,1.88,Success,Rejected (POWER),-1712.0,V2
4618208,47.91,46.45,1.46,High,40.7,6,0,False,97,45.07,2.84,Success,Rejected (POWER),-1490.0,V2
4618207,45.74,44.63,1.1,High,60.2,6,0,False,149,43.88,1.85,Success,Rejected (POWER),-1414.0,V2
4618206,43.0,41.29,1.71,High,67.6,5,0,False,132,41.55,1.45,Success,Rejected (POWER),-368.0,V2
4618205,41.87,41.74,0.14,Medium,48.6,6,0,False,139,40.53,1.34,Success,Rejected (POWER),-1614.0,V2
4618204,46.99,,,,,,,False,0,,,Failed: No valid local candidates generated. Relax constraints or check current recipe.,Failed,,Neither
