Variable,Pct_Change,Predicted_TTT,Delta_TTT,Elasticity
HM,-5.0,42.519,-0.48,-480253.9652
HM,-2.0,42.436,-0.563,-562551.9636
HM,-1.0,42.525,-0.474,-473632.3348
HM,1.0,42.958,-0.041,-0.0949
HM,2.0,42.648,-0.35,-0.4074
HM,5.0,42.895,-0.104,-0.0482
DRI,-5.0,43.334,0.335,334700.8299
DRI,-2.0,43.104,0.105,104977.2456
DRI,-1.0,43.019,0.02,20028.5755
DRI,1.0,42.866,-0.133,-0.3099
DRI,2.0,42.731,-0.268,-0.3113
DRI,5.0,42.498,-0.5,-0.2327
HBI,-5.0,42.999,0.0,0.0
HBI,-2.0,42.999,0.0,0.0
HBI,-1.0,42.999,0.0,0.0
HBI,1.0,42.999,0.0,0.0
HBI,2.0,42.999,0.0,0.0
HBI,5.0,42.999,0.0,0.0
Bucket,-5.0,43.095,0.096,96341.3397
Bucket,-2.0,42.936,-0.063,-63091.8619
Bucket,-1.0,42.996,-0.003,-2644.978
Bucket,1.0,42.996,-0.003,-0.0074
Bucket,2.0,42.949,-0.05,-0.0577
Bucket,5.0,42.928,-0.071,-0.0328
LIME,-5.0,42.939,-0.06,-59577.9156
LIME,-2.0,42.98,-0.019,-19149.8244
LIME,-1.0,42.986,-0.013,-12530.7485
LIME,1.0,42.994,-0.005,-0.0116
LIME,2.0,42.997,-0.001,-0.0016
LIME,5.0,43.015,0.016,0.0073
DOLO,-5.0,42.996,-0.003,-3000.1939
DOLO,-2.0,43.001,0.002,1795.8154
DOLO,-1.0,42.999,0.0,0.0
DOLO,1.0,42.991,-0.008,-0.0182
DOLO,2.0,42.989,-0.01,-0.0115
DOLO,5.0,42.994,-0.005,-0.0023
CPC,-5.0,43.012,0.013,13476.4046
CPC,-2.0,43.008,0.01,9522.2967
CPC,-1.0,43.004,0.005,4876.2282
CPC,1.0,42.999,0.0,0.0
CPC,2.0,42.986,-0.013,-0.0147
CPC,5.0,43.028,0.029,0.0137
OXY,-5.0,41.869,-1.13,-1130024.1249
OXY,-2.0,42.486,-0.513,-512869.1119
OXY,-1.0,42.573,-0.426,-426047.6868
OXY,1.0,43.09,0.091,0.2111
OXY,2.0,43.283,0.284,0.3305
OXY,5.0,43.716,0.717,0.3335
