Heat,Current_TTT,Hybrid_Predicted_TTT,Improvement_min,Hybrid_Score,Reliability_Index,Reliability_Tier,Consensus,Agreement_pct
4618213,43.547,43.756,-0.21,70.41,72.2,Moderate Trust,Moderate,75.0
4618212,41.917,41.106,0.811,70.27,72.2,Moderate Trust,Weak,55.0
4618211,47.175,45.157,2.018,74.07,71.7,Moderate Trust,Weak,60.0
4618210,46.524,44.978,1.546,68.64,71.0,Moderate Trust,Weak,60.0
4618209,44.379,43.724,0.655,72.14,74.9,Moderate Trust,Moderate,75.0
4618208,47.913,46.45,1.463,70.55,68.5,Moderate Trust,Moderate,65.0
4618207,45.736,44.633,1.104,73.77,74.7,Moderate Trust,Moderate,65.0
4618206,42.999,41.285,1.713,78.67,77.6,Moderate Trust,Weak,60.0
4618205,41.872,41.736,0.136,66.91,70.2,Moderate Trust,Moderate,65.0
4618204,46.9895111367648,46.9895111367648,0.0,0.0,0.0,Review Required,Conflict,0.0
